t,paa0,pfe0,paa1,pfe1,daa0,dfe0,daa1,dfe1
1804.16,-0,0,-0,0.230925,0.230097,0.160027,-0.0398835,0.149899
1804.24,-0,0,-0,0.230925,0.230097,0.160027,-0.0398835,0.149899
1804.32,-0,0,-0,0.230925,0.230097,0.160027,-0.0398835,0.149899
1804.4,-0,0,-0,0.230925,0.230097,0.160027,-0.0398835,0.160027
1804.48,-0,0,-0,0.230925,0.230097,0.160027,-0.0398835,0.169866
1804.56,-0,0,-0,0.230925,0.230097,0.160027,-0.0398835,0.197068
1804.64,-0,0,-0,0.230925,0.230097,0.160027,-0.0398835,0.245105
1804.72,-0,0,-0,0.230925,0.230097,0.160027,-0.0398835,0.285618
1804.8,-0,0,-0,0.230925,0.230097,0.160027,-0.0398835,0.327289
1804.88,-0,0,-0,0.230925,0.230097,0.160027,-0.0398835,0.357384
1804.96,-0,0,-0,0.237292,0.230097,0.160027,-0.0383495,0.395582
1805.04,-0,0,-0,0.26131,0.230097,0.160027,-0.0398835,0.437543
1805.12,-0,0,-0,0.300666,0.230097,0.160027,-0.0398835,0.469085
1805.2,-0,0,-0,0.319476,0.230097,0.160027,-0.0398835,0.479503
1805.28,-0,0,-0,0.319476,0.230097,0.161474,-0.0398835,0.480081
1805.36,-0,0,-0,0.319476,0.230097,0.169577,-0.0398835,0.48992
1805.44,-0,0,-0,0.319476,0.230097,0.169866,-0.0398835,0.498023
1805.52,-0,0,-0,0.319765,0.230097,0.169866,-0.0398835,0.499759
1805.6,-0,0,-0,0.319476,0.230097,0.169866,-0.0398835,0.509888
1805.68,-0,0,-0,0.319476,0.230097,0.16813,-0.0398835,0.52754
1805.76,-0,0,-0,0.319476,0.230097,0.169866,-0.0414175,0.531591
1805.84,-0,0,-0,0.319476,0.230097,0.169866,-0.0398835,0.530144
1805.92,-0,0,-0,0.319476,0.230097,0.169866,-0.0398835,0.530434
1805.99,-0,0,-0,0.319476,0.230097,0.169866,-0.0414175,0.531591
1806.07,-0,0,-0,0.319476,0.230097,0.169866,-0.0398835,0.530144
1806.16,-0,0,-0,0.319476,0.230097,0.169866,-0.0398835,0.539983
1806.23,-0,0,-0,0.319476,0.230097,0.169866,-0.0398835,0.539983
1806.31,-0,0,-0,0.319476,0.230097,0.169866,-0.0398835,0.510466
1806.4,-0,0,-0,0.319476,0.230097,0.169866,-0.0398835,0.45722
1806.48,-0,0,-0,0.319476,0.230097,0.169866,-0.0398835,0.356227
1806.56,-0,0,-0,0.319476,0.230097,0.160317,-0.0398835,0.263625
1806.64,-0,0,-0,0.318897,0.230097,0.16813,-0.0398835,0.213273
1806.71,-0,0,-0,0.318607,0.230097,0.169866,-0.0398835,0.190412
1806.8,-0,0,-0,0.311083,0.230097,0.169866,-0.0398835,0.171892
1806.88,-0,0,-0,0.286486,0.230097,0.169866,-0.0398835,0.169866
1806.96,-0,0,-0,0.25205,0.230097,0.169866,-0.0398835,0.169866
1807.04,-0,0,-0,0.224848,0.230097,0.160027,-0.0398835,0.169866
1807.11,-0,0,-0,0.219639,0.230097,0.160027,-0.0398835,0.162053
1807.2,-0,0,-0,0.219929,0.230097,0.160027,-0.0398835,0.160317
1807.28,-0,0,-0,0.219929,0.230097,0.160317,-0.0398835,0.158291
1807.35,-0,0,-0,0.219929,0.230097,0.169577,-0.0398835,0.149899
1807.43,-0,0,-0,0.219929,0.230097,0.168419,-0.0398835,0.148163
1807.51,-0,0,-0,0.219929,0.230097,0.160317,-0.0398835,0.14006
1807.59,-0,0,-0,0.219929,0.230097,0.160027,-0.0398835,0.130221
1807.68,-0,0,-0,0.219639,0.230097,0.160027,-0.0398835,0.129932
1807.76,-0,0,-0,0.21935,0.230097,0.160027,-0.0398835,0.129932
1807.83,-0,0,-0,0.21935,0.230097,0.160027,-0.0414175,0.129932
1807.92,-0,0,-0,0.219061,0.230097,0.160027,-0.0398835,0.129932
1807.99,-0,0,-0,0.21935,0.230097,0.160027,-0.0398835,0.129932
1808.08,-0,0,-0,0.21935,0.230097,0.162053,-0.0398835,0.147873
1808.16,-0,0,-0,0.21935,0.230097,0.160027,-0.0398835,0.149899
1808.23,-0,0,-0,0.219061,0.230097,0.160027,-0.0398835,0.159738
1808.31,-0,0,-0,0.219061,0.230097,0.160027,-0.0398835,0.197068
1808.39,-0,0,-0,0.219061,0.230097,0.160027,-0.0398835,0.245394
1808.47,-0,0,-0,0.21935,0.230097,0.160027,-0.0398835,0.275779
1808.55,-0,0,-0,0.21935,0.230097,0.160027,-0.0398835,0.326999
1808.64,-0,0,-0,0.21935,0.230097,0.162053,-0.0398835,0.357384
1808.71,-0,0,-0,0.226874,0.230097,0.169577,-0.0398835,0.395582
1808.79,-0,0,-0,0.256101,0.230097,0.169866,-0.0398835,0.445066
1808.87,-0,0,-0,0.301534,0.230097,0.169866,-0.0398835,0.469374
1808.95,-0,0,-0,0.320922,0.230097,0.177969,-0.0398835,0.497444
1809.03,-0,0,-0,0.320922,0.230097,0.171892,-0.0398835,0.509888
1809.11,-0,0,-0,0.320922,0.230097,0.179994,-0.0398835,0.527829
1809.19,-0,0,-0,0.320922,0.230097,0.179994,-0.0398835,0.537957
1809.28,-0,0,-0,0.320922,0.230097,0.179994,-0.0414175,0.549822
1809.35,-0,0,-0,0.320922,0.230097,0.179994,-0.0398835,0.550111
1809.43,-0,0,-0,0.320922,0.230097,0.179994,-0.0398835,0.569789
1809.51,-0,0,-0,0.320922,0.230097,0.179994,-0.0429515,0.577892
1809.6,-0,0,-0,0.320922,0.230097,0.179994,-0.0398835,0.570079
1809.67,-0,0,-0,0.320922,0.230097,0.179994,-0.0398835,0.570079
1809.76,-0,0,-0,0.320922,0.230097,0.179994,-0.0398835,0.570079
1809.83,-0,0,-0,0.320922,0.230097,0.179994,-0.0398835,0.570079
1809.91,-0,0,-0,0.320922,0.230097,0.179994,-0.0398835,0.570079
1809.99,-0,0,-0,0.320922,0.230097,0.179994,-0.0398835,0.570079
1810.07,-0,0,-0,0.320922,0.230097,0.179994,-0.0398835,0.570079
1810.15,-0,0,-0,0.320922,0.230097,0.179994,-0.0398835,0.570079
1810.23,-0,0,-0,0.320922,0.230097,0.179994,-0.0398835,0.542009
1810.31,-0,0,-0,0.320922,0.230097,0.179994,-0.0398835,0.504679
1810.39,-0,0,-0,0.320922,0.230097,0.179994,-0.0398835,0.472558
1810.47,-0,0,-0,0.320922,0.230097,0.179994,-0.0398835,0.356806
1810.55,-0,0,-0,0.320922,0.230097,0.179994,-0.0398835,0.29864
1810.63,-0,0,-0,0.319476,0.230097,0.177969,-0.0398835,0.2425
1810.71,-0,0,-0,0.319186,0.230097,0.170445,-0.0398835,0.222533
1810.79,-0,0,-0,0.31716,0.230097,0.169866,-0.0398835,0.21009
1810.87,-0,0,-0,0.307322,0.230097,0.169866,-0.0398835,0.199962
1810.95,-0,0,-0,0.290248,0.230097,0.169866,-0.0398835,0.180284
1811.03,-0,0,-0,0.271728,0.230097,0.169866,-0.0398835,0.170445
1811.11,-0,0,-0,0.257838,0.230097,0.169866,-0.0398835,0.160317
1811.19,-0,0,-0,0.251182,0.230097,0.169866,-0.0398835,0.150478
1811.27,-0,0,-0,0.250024,0.230097,0.169866,-0.0398835,0.149899
1811.35,-0,0,-0,0.250024,0.230097,0.169866,-0.0398835,0.142086
1811.43,-0,0,-0,0.250024,0.230097,0.169866,-0.0398835,0.14006
1811.51,-0,0,-0,0.247999,0.230097,0.169866,-0.0398835,0.14006
1811.59,-0,0,-0,0.240185,0.230097,0.169866,-0.0398835,0.14006
1811.67,-0,0,-0,0.228321,0.230097,0.169866,-0.0398835,0.129932
1811.75,-0,0,-0,0.219929,0.230097,0.169866,-0.0398835,0.129932
1811.83,-0,0,-0,0.217903,0.230097,0.169866,-0.0398835,0.129932
1811.91,-0,0,-0,0.217903,0.230097,0.169866,-0.0398835,0.120093
1811.99,-0,0,-0,0.217903,0.230097,0.169866,-0.0398835,0.120093
1812.07,-0,0,-0,0.217324,0.230097,0.169866,-0.0398835,0.120093
1812.15,-0,0,-0,0.216456,0.230097,0.169866,-0.0398835,0.118356
1812.23,-0,0,-0,0.215009,0.230097,0.169866,-0.0398835,0.120093
1812.31,-0,0,-0,0.212984,0.230097,0.169866,-0.0398835,0.120093
1812.39,-0,0,-0,0.211247,0.230097,0.170445,-0.0398835,0.129642
1812.47,-0,0,-0,0.210379,0.230097,0.169866,-0.0398835,0.129932
1812.55,-0,0,-0,0.210379,0.230097,0.169866,-0.0398835,0.14006
1812.63,-0,0,-0,0.210379,0.230097,0.177969,-0.0475534,0.147873
1812.71,-0,0,-0,0.210379,0.230097,0.179994,-0.0475534,0.187229
1812.79,-0,0,-0,0.210379,0.230097,0.179994,-0.0398835,0.225138
1812.87,-0,0,-0,0.210958,0.230097,0.179994,-0.0398835,0.257548
1812.95,-0,0,-0,0.210958,0.230097,0.179994,-0.0398835,0.314845
1813.03,-0,0,-0,0.210958,0.230097,0.179994,-0.0398835,0.347545
1813.11,-0,0,-0,0.218482,0.230097,0.179994,-0.0398835,0.406579
1813.19,-0,0,-0,0.247131,0.230097,0.179994,-0.0398835,0.456931
1813.27,-0,0,-0,0.297193,0.230097,0.179994,-0.0398835,0.487605
1813.35,-0,0,-0,0.324395,0.230097,0.179994,-0.0398835,0.509888
1813.43,-0,0,-0,0.324395,0.230097,0.179994,-0.0398835,0.520016
1813.51,-0,0,-0,0.324395,0.230097,0.179994,-0.0398835,0.539404
1813.59,-0,0,-0,0.324395,0.230097,0.179994,-0.0398835,0.549533
1813.67,-0,0,-0,0.324395,0.230097,0.180284,-0.0398835,0.550111
1813.75,-0,0,-0,0.324395,0.230097,0.188386,-0.0398835,0.557925
1813.83,-0,0,-0,0.324106,0.230097,0.190123,-0.0398835,0.579628
1813.91,-0,0,-0,0.324106,0.230097,0.190123,-0.0398835,0.579917
1813.99,-0,0,-0,0.324395,0.230097,0.190123,-0.0398835,0.572104
1814.07,-0,0,-0,0.324395,0.230097,0.199672,-0.0398835,0.570079
1814.15,-0,0,-0,0.324395,0.230097,0.199962,-0.0398835,0.570079
1814.23,-0,0,-0,0.324106,0.230097,0.199962,-0.0398835,0.570079
1814.31,-0,0,-0,0.324395,0.230097,0.199962,-0.0398835,0.550401
1814.39,-0,0,-0,0.324395,0.230097,0.199962,-0.0398835,0.542009
1814.47,-0,0,-0,0.324395,0.230097,0.199962,-0.0398835,0.512781
1814.55,-0,0,-0,0.324106,0.230097,0.199962,-0.0322136,0.482107
1814.63,-0,0,-0,0.324395,0.230097,0.199962,-0.0398835,0.389505
1814.71,-0,0,-0,0.324395,0.230097,0.180573,-0.0398835,0.325263
1814.79,-0,0,-0,0.324106,0.230097,0.189833,-0.0398835,0.263046
1814.87,-0,0,-0,0.323527,0.230097,0.18202,-0.0398835,0.240475
1814.95,-0,0,-0,0.321212,0.230097,0.179994,-0.0398835,0.220508
1815.03,-0,0,-0,0.313688,0.230097,0.171892,-0.0398835,0.192438
1815.11,-0,0,-0,0.300087,0.230097,0.170155,-0.0398835,0.179994
1815.19,-0,0,-0,0.27983,0.230097,0.169577,-0.0398835,0.170445
1815.27,-0,0,-0,0.256101,0.230097,0.169866,-0.0398835,0.160317
1815.35,-0,0,-0,0.240185,0.230097,0.169866,-0.0414175,0.160027
1815.43,-0,0,-0,0.237581,0.230097,0.169866,-0.0398835,0.160027
1815.51,-0,0,-0,0.237581,0.230097,0.169866,-0.0398835,0.151925
1815.59,-0,0,-0,0.237581,0.230097,0.169866,-0.0398835,0.160027
1815.67,-0,0,-0,0.237581,0.230097,0.169866,-0.0398835,0.160027
1815.75,-0,0,-0,0.237581,0.230097,0.169866,-0.0398835,0.160027
1815.83,-0,0,-0,0.237581,0.230097,0.169866,-0.0398835,0.160027
1815.91,-0,0,-0,0.237581,0.230097,0.169866,-0.0567573,0.160027
1815.99,-0,0,-0,0.237581,0.230097,0.169866,-0.0398835,0.160027
1816.07,-0,0,-0,0.237581,0.230097,0.169866,-0.0398835,0.150188
1816.15,-0,0,-0,0.237581,0.230097,0.169866,-0.0398835,0.149899
1816.23,-0,0,-0,0.237581,0.230097,0.169866,-0.0398835,0.149899
1816.31,-0,0,-0,0.237581,0.230097,0.169866,-0.0398835,0.149899
1816.39,-0,0,-0,0.237581,0.230097,0.169866,-0.0398835,0.149899
1816.47,-0,0,-0,0.237581,0.230097,0.169866,-0.0398835,0.149899
1816.55,-0,0,-0,0.237581,0.230097,0.169866,-0.0398835,0.16784
1816.63,-0,0,-0,0.237581,0.230097,0.169866,-0.0398835,0.179994
1816.71,-0,0,-0,0.237581,0.230097,0.169866,-0.0398835,0.188097
1816.79,-0,0,-0,0.237581,0.230097,0.177969,-0.0506214,0.217614
1816.87,-0,0,-0,0.237581,0.230097,0.179994,-0.0582913,0.283303
1816.95,-0,0,-0,0.237581,0.230097,0.179994,-0.0398835,0.35478
1817.03,-0,0,-0,0.23787,0.230097,0.179994,-0.0398835,0.412945
1817.11,-0,0,-0,0.246552,0.230097,0.179994,-0.0398835,0.48558
1817.19,-0,0,-0,0.28012,0.230097,0.179994,-0.0398835,0.517701
1817.27,-0,0,-0,0.325842,0.230097,0.188097,-0.0398835,0.55561
1817.35,-0,0,-0,0.325842,0.230097,0.179994,-0.0398835,0.598727
1817.43,-0,0,-0,0.325842,0.230097,0.188097,-0.0398835,0.619273
1817.51,-0,0,-0,0.325842,0.230097,0.197936,-0.0398835,0.629691
1817.59,-0,0,-0,0.325842,0.230097,0.199962,-0.0398835,0.62998
1817.67,-0,0,-0,0.325842,0.230097,0.199962,-0.0475534,0.62998
1817.75,-0,0,-0,0.325842,0.230097,0.199962,-0.0398835,0.639819
1817.83,-0,0,-0,0.325842,0.230097,0.199962,-0.0398835,0.659786
1817.91,-0,0,-0,0.325842,0.230097,0.199962,-0.0398835,0.660076
1817.99,-0,0,-0,0.325842,0.230097,0.199962,-0.0398835,0.660076
1818.07,-0,0,-0,0.325842,0.230097,0.208064,-0.0398835,0.660076
1818.15,-0,0,-0,0.325842,0.230097,0.201987,-0.0398835,0.660076
1818.23,-0,0,-0,0.325842,0.230097,0.199962,-0.0414175,0.660076
1818.31,-0,0,-0,0.325842,0.230097,0.209511,-0.0398835,0.651973
1818.39,-0,0,-0,0.325842,0.230097,0.21009,-0.0398835,0.649947
1818.47,-0,0,-0,0.325842,0.230097,0.21009,-0.0383495,0.624482
1818.55,-0,0,-0,0.325842,0.230097,0.21009,-0.0398835,0.620141
1818.63,-0,0,-0,0.325842,0.230097,0.21009,-0.0475534,0.574709
1818.71,-0,0,-0,0.325842,0.230097,0.201987,-0.0398835,0.487895
1818.79,-0,0,-0,0.325842,0.230097,0.199962,-0.0322136,0.399344
1818.87,-0,0,-0,0.325842,0.230097,0.190123,-0.0398835,0.333366
1818.95,-0,0,-0,0.325552,0.230097,0.190123,-0.0398835,0.253208
1819.03,-0,0,-0,0.324106,0.230097,0.190123,-0.0398835,0.232083
1819.11,-0,0,-0,0.318897,0.230097,0.190123,-0.0398835,0.210379
1819.19,-0,0,-0,0.307611,0.230097,0.197936,-0.0398835,0.190412
1819.27,-0,0,-0,0.292274,0.230097,0.198515,-0.0398835,0.190123
1819.35,-0,0,-0,0.272017,0.230097,0.199962,-0.0398835,0.190123
1819.43,-0,0,-0,0.254944,0.230097,0.190123,-0.0475534,0.188097
1819.51,-0,0,-0,0.25205,0.230097,0.190123,-0.0398835,0.170445
1819.59,-0,0,-0,0.252339,0.230097,0.190123,-0.0398835,0.134562
1819.67,-0,0,-0,0.25205,0.230097,0.190123,-0.0414175,0.110543
1819.75,-0,0,-0,0.247131,0.230097,0.180284,-0.0398835,0.0821839
1819.83,-0,0,-0,0.228321,0.230097,0.189833,-0.0398835,0.07003
1819.91,-0,0,-0,0.19591,0.230097,0.190123,-0.0398835,0.0344362
1819.99,-0,0,-0,0.155397,0.230097,0.190123,-0.0475534,0.020546
1820.07,-0,0,-0,0.11662,0.230097,0.190123,-0.0398835,0.0118646
1820.15,-0,0,-0,0.086814,0.230097,0.190123,-0.0398835,0.0101283
1820.23,-0,0,-0,0.0749494,0.230097,0.190123,-0.0398835,0.0101283
1820.31,-0,0,-0,0.0758176,0.230097,0.190123,-0.0475534,0.0101283
1820.39,-0,0,-0,0.0758176,0.230097,0.190123,-0.0398835,0.0199672
1820.47,-0,0,-0,0.0758176,0.230097,0.190123,-0.0398835,0.0199672
1820.55,-0,0,-0,0.0758176,0.230097,0.190123,-0.0398835,0.0295168
1820.63,-0,0,-0,0.0758176,0.230097,0.190123,-0.0398835,0.0300955
1820.71,-0,0,-0,0.0758176,0.230097,0.190123,-0.0398835,0.0396451
1820.79,-0,0,-0,0.0758176,0.230097,0.190123,-0.0398835,0.057876
1820.87,-0,0,-0,0.0758176,0.230097,0.190123,-0.0490874,0.0680043
1820.95,-0,0,-0,0.0758176,0.230097,0.190123,-0.0398835,0.0798689
1821.03,-0,0,-0,0.0761069,0.230097,0.190123,-0.0398835,0.117488
1821.11,-0,0,-0,0.0758176,0.230097,0.190123,-0.0398835,0.155397
1821.19,-0,0,-0,0.0758176,0.230097,0.19157,-0.0398835,0.177969
1821.27,-0,0,-0,0.0792901,0.230097,0.190123,-0.0398835,0.179994
1821.35,-0,0,-0,0.0960742,0.230097,0.190123,-0.0398835,0.179994
1821.43,-0,0,-0,0.125302,0.230097,0.199962,-0.0398835,0.190123
1821.51,-0,0,-0,0.151925,0.230097,0.199962,-0.0398835,0.199962
1821.59,-0,0,-0,0.166394,0.230097,0.199962,-0.0414175,0.217903
1821.67,-0,0,-0,0.17276,0.230097,0.199962,-0.0398835,0.219929
1821.75,-0,0,-0,0.173628,0.230097,0.199962,-0.0398835,0.247709
1821.83,-0,0,-0,0.173628,0.230097,0.199962,-0.0398835,0.250024
1821.91,-0,0,-0,0.175075,0.230097,0.199962,-0.0322136,0.259863
1821.99,-0,0,-0,0.182888,0.230097,0.199962,-0.0398835,0.259863
1822.07,-0,0,-0,0.194174,0.230097,0.199962,-0.0398835,0.267966
1822.15,-0,0,-0,0.202855,0.230097,0.199962,-0.0506214,0.28938
1822.23,-0,0,-0,0.204881,0.230097,0.199962,-0.0398835,0.31745
1822.31,-0,0,-0,0.208064,0.230097,0.199962,-0.0398835,0.320054
1822.39,-0,0,-0,0.221954,0.230097,0.199962,-0.0398835,0.320054
1822.47,-0,0,-0,0.24742,0.230097,0.199962,-0.0475534,0.327868
1822.55,-0,0,-0,0.270281,0.230097,0.199962,-0.0398835,0.329893
