t,paa0,pfe0,paa1,pfe1,daa0,dfe0,daa1,dfe1
1614.95,-0,0,0.00153398,0.377062,-0,0.0199672,-0.0199418,0.560529
1615,-0,0,0.00153398,0.377062,-0,0.0199672,-0.0199418,0.56024
1615.05,-0,0,0.00153398,0.377062,-0,0.0199672,-0.0199418,0.524935
1615.1,-0,0,-0,0.377062,-0,0.0199672,-0.0199418,0.481818
1615.14,-0,0,0.00153398,0.377062,-0,0.0199672,-0.0199418,0.472268
1615.19,-0,0,-0,0.377062,-0,0.0118646,-0.0199418,0.396451
1615.24,-0,0,0.00153398,0.377062,-0,0.0115752,-0.0199418,0.2752
1615.29,-0,0,-0,0.377062,-0,0.0101283,-0.0199418,0.179126
1615.34,-0,0,-0,0.323816,-0,0.0101283,-0.0199418,0.155686
1615.38,-0,0,-0.00153398,0.22398,-0,0.0101283,-0.0214757,0.103887
1615.43,-0,0,-0,0.161474,-0,0.0101283,-0.0199418,0.0729238
1615.48,-0,0,-0,0.11691,-0,0.0101283,-0.0199418,0.035015
1615.53,-0,0,-0,0.0804476,-0,0.0101283,-0.0199418,0.0150478
1615.58,-0,0,-0,0.0442751,-0,0.0101283,-0.0199418,0.00057876
1615.62,-0,0,-0,0.0199672,-0,0.0101283,-0.0199418,0
1615.67,-0,0,-0,0.00463008,-0,0.0101283,-0.0199418,0
1615.72,-0,0,-0,0.00028938,-0,0.0101283,-0.0199418,0
1615.77,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1615.82,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1615.86,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1615.91,-0,0,-0,0,-0,0.0101283,-0.0184078,0
1615.96,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1616.01,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1616.06,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1616.1,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1616.15,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1616.2,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1616.25,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1616.3,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1616.34,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1616.39,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1616.44,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1616.49,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1616.54,-0,0,-0,0,-0,0.0101283,-0.0199418,0
1616.58,-0,0,-0,0,-0,0.0101283,-0.0199418,0.0190991
1616.63,-0,0,-0,0,-0.00153398,0.0101283,-0.0199418,0.0379088
1616.68,-0,0,-0,0.014469,-0,0.0101283,-0.0199418,0.0752388
1616.73,-0,0,-0,0.0335681,-0,0.0101283,-0.0199418,0.0798689
1616.78,-0,0,-0,0.0659786,-0,0.0101283,-0.0199418,0.0879715
1616.82,-0,0,-0,0.0787114,-0,0.0101283,-0.0199418,0.0995467
1616.87,-0,0,-0,0.0856565,-0,0.0101283,-0.0276117,0.125591
1616.92,-0,0,-0,0.0966529,-0,0.0101283,-0.0199418,0.15395
1616.97,-0,0,-0,0.119225,-0,0.0101283,-0.0199418,0.185493
1617.02,-0,0,-0,0.147584,-0,0.0101283,-0.0199418,0.188097
1617.06,-0,0,-0,0.17739,-0,0.0101283,-0.0199418,0.197936
1617.11,-0,0,-0,0.187229,-0,0.0101283,-0.0199418,0.217614
1617.16,-0,0,-0,0.195331,-0,0.0101283,-0.0199418,0.229478
1617.21,-0,0,-0,0.212405,-0,0.0101283,-0.0199418,0.247709
1617.26,-0,0,-0,0.226006,-0,0.0101283,-0.0199418,0.269123
1617.3,-0,0,-0,0.24279,-0,0.0101283,-0.0199418,0.295457
1617.35,-0,0,-0,0.263336,-0,0.0101283,-0.0199418,0.309347
1617.4,-0,0,-0,0.288222,-0,0.0101283,-0.0199418,0.335681
1617.45,-0,0,-0,0.304138,-0,0.0101283,-0.0199418,0.347256
1617.5,-0,0,-0,0.321501,-0,0.0101283,-0.0199418,0.385165
1617.54,-0,0,-0,0.329025,-0,0.0101283,-0.0199418,0.408894
1617.59,-0,0,-0,0.349571,-0,0.0101283,-0.0199418,0.425678
1617.64,-0,0,-0,0.362593,-0,0.0101283,-0.0199418,0.447381
1617.69,-0,0,0.00153398,0.369828,-0.0076699,0.0101283,-0.0122718,0.485001
1617.74,-0,0,0.00153398,0.379377,-0,0.0101283,-0.0199418,0.497734
1617.78,-0,0,0.00153398,0.381982,-0,0.0101283,-0.0199418,0.52725
1617.83,-0,0,0.00153398,0.381982,-0,0.0101283,-0.0199418,0.537957
1617.88,-0,0,-0,0.381982,-0,0.0101283,-0.0199418,0.559082
1617.93,-0,0,-0,0.381982,-0,0.0101283,-0.0199418,0.577603
1617.98,-0,0,-0,0.381982,-0,0.0101283,-0.0199418,0.579628
1618.02,-0,0,0.00153398,0.381982,-0,0.0101283,-0.0184078,0.572104
1618.07,-0,0,0.00153398,0.381982,-0,0.0101283,-0.0199418,0.589178
1618.12,-0,0,0.00153398,0.381982,-0,0.0101283,-0.0199418,0.597859
1618.17,-0,0,0.00153398,0.381982,-0,0.0101283,-0.0199418,0.591493
1618.22,-0,0,0.00153398,0.381982,-0,0.0101283,-0.0199418,0.599595
1618.26,-0,0,0.00153398,0.381982,-0,0.0101283,-0.0199418,0.572683
1618.31,-0,0,0.00153398,0.381982,-0,0.0101283,-0.0199418,0.538536
1618.36,-0,0,0.00153398,0.381982,-0,0.0101283,-0.0199418,0.47603
1618.41,-0,0,0.00153398,0.381982,-0,0.0101283,-0.0199418,0.417575
1618.46,-0,0,0.00153398,0.381982,-0,0.0101283,-0.0199418,0.38748
1618.5,-0,0,0.00153398,0.381982,-0,0.00028938,-0.0199418,0.362593
1618.55,-0,0,-0,0.381403,-0,0,-0.0199418,0.299219
1618.6,-0,0,0.00153398,0.371853,-0,0,-0.0199418,0.239317
1618.65,-0,0,-0,0.320054,-0,0,-0.0199418,0.193595
1618.7,-0,0,-0,0.254076,-0,0,-0.0199418,0.174786
1618.74,-0,0,-0,0.204881,-0,0,-0.0199418,0.152503
1618.79,-0,0,-0,0.178258,-0,0,-0.0122718,0.0972317
1618.84,-0,0,-0,0.158291,-0,0,-0.0184078,0.0833414
1618.89,-0,0,-0,0.112858,-0,0,-0.0199418,0.0642424
1618.94,-0,0,-0,0.0859459,-0,0,-0.0199418,0.0506415
1618.98,-0,0,-0,0.0691618,-0,0,-0.0199418,0.022861
1619.03,-0,0,-0,0.0538247,-0,0,-0.0199418,0.0124433
1619.08,-0,0,-0,0.0300955,-0,0,-0.0199418,0.0101283
1619.13,-0,0,-0,0.0150478,-0,0,-0.0122718,0.00202566
1619.18,-0,0,-0,0.0115752,-0,0,-0.0107379,0.00173628
1619.22,-0,0,-0,0.00491946,-0,0,-0.0107379,0.00954954
1619.27,-0,0,-0,0.00231504,-0,0,-0.0107379,0.0179416
1619.32,-0,0,-0,0.00781326,-0,0,-0.0184078,0.0295168
1619.37,-0,0,-0,0.0159159,-0,0,-0.0122718,0.0379088
1619.42,-0,0,-0,0.0269123,-0,0,-0.0184078,0.0474583
