t,paa0,pfe0,paa1,pfe1,daa0,dfe0,daa1,dfe1,cft0,cft1,pee0,pee1
12.7643,-0,0,-0,0.225427,-0.0107379,0,-0,0.373879,0.0306757,0.0242074,102.723,82.9082
12.8123,-0,0,-0,0.284461,-0.0107379,0,-0,0.394714,0.0311769,0.0192614,102.723,77.7193
12.8603,-0,0,-0,0.35478,-0.0107379,0,-0,0.436674,0.0301496,0.275392,102.723,71.5383
12.9084,-0,0,-0,0.374458,-0.0107379,0,-0.00153398,0.449407,0.0308869,1.03451,102.723,69.8087
12.9563,-0,0,-0,0.395293,-0.0107379,0,-0,0.459535,0.0308869,1.77986,102.723,67.9773
13.0043,-0,0,-0,0.402238,-0.0107379,0,-0,0.504679,0.0344093,2.35197,102.723,67.3668
13.0524,-0,0,-0,0.406579,-0.0107379,0,-0,0.537089,0.0382884,2.58542,102.723,66.9853
13.1004,-0,0,-0,0.406579,-0.0107379,0,-0.0076699,0.555899,0.035242,2.62312,102.723,66.9853
13.1483,-0,0,-0,0.406579,-0.0107379,0,-0,0.55995,0.0367696,2.60485,102.723,66.9853
13.1964,-0,0,-0,0.406579,-0.00153398,0,-0,0.55995,0.035242,2.58507,102.723,66.9853
13.2444,-0,0,-0,0.406579,-0.00920388,0,-0,0.55995,0.0364417,2.57031,102.723,66.9853
13.2923,-0,0,-0,0.406579,-0.0107379,0,-0,0.55995,0.0355668,2.56037,102.723,66.9853
13.3404,-0,0,-0,0.406579,-0.0107379,0,-0,0.55995,0.0422493,2.54579,102.723,66.9853
13.3884,-0,0,-0,0.406579,-0.0107379,0,-0,0.568053,0.0389615,2.54069,102.723,66.9853
13.4363,-0,0,-0,0.406579,-0.0107379,0,-0,0.569789,0.0389615,2.53427,102.723,66.9853
13.4843,-0,0,-0,0.406579,-0.0107379,0,-0,0.570079,0.0390896,2.52693,102.723,66.9853
13.5324,-0,0,-0,0.406579,-0.0107379,0,-0,0.560529,0.0385227,2.52419,102.723,66.9853
13.5804,-0,0,-0,0.406579,-0.0107379,0,-0,0.552137,0.0450222,2.51279,102.723,66.9853
13.6283,-0,0,-0,0.406579,-0.0107379,0,-0,0.550401,0.0431509,2.5077,102.723,66.9853
13.6764,-0,0,-0,0.406579,-0.0107379,0,-0,0.550111,0.0411947,2.5079,102.723,66.9853
13.7243,-0,0,-0,0.406579,-0.0107379,0,-0,0.550111,0.0412311,2.50306,102.723,66.9853
13.7723,-0,0,-0,0.406579,-0.0107379,0,-0,0.550111,0.041497,2.49982,102.723,66.9853
13.8203,-0,0,-0,0.406579,-0.0107379,0,-0,0.542009,0.0454973,2.4908,102.723,66.9853
13.8684,-0,0,-0,0.406579,-0.0107379,0,-0,0.53217,0.0454753,2.48962,102.723,66.9853
13.9163,-0,0,-0,0.406579,-0.0107379,0,-0.00153398,0.539694,0.0418569,2.49102,102.723,66.9853
13.9643,-0,0,-0,0.406579,-0.0107379,0,-0.0076699,0.524067,0.0415452,2.48942,102.723,66.9853
14.0123,-0,0,-0,0.406579,-0.0107379,0,-0.00153398,0.512781,0.0409268,2.48319,102.723,66.9853
14.0603,-0,0,-0,0.406579,-0.0107379,0,-0,0.484422,0.0423438,2.47995,102.723,66.9853
14.1083,-0,0,-0,0.406579,-0.0107379,0,-0,0.45288,0.040939,2.47584,102.723,66.9853
14.1563,-0,0,-0,0.417575,-0.0107379,0,-0,0.389216,0.0441248,2.83705,102.723,66.0187
14.2044,-0,0,-0,0.418154,-0.0107379,0,-0,0.357963,0.0454533,3.11411,102.723,65.9678
14.2523,-0,0,-0,0.401081,-0.0107379,0,-0,0.332787,0.0483942,2.52388,102.723,67.4686
14.3003,-0,0,-0,0.366644,-0.0107379,0,-0,0.269413,0.047927,1.29689,102.723,70.4954
14.3483,-0,0,-0,0.338285,-0.0107379,0,-0,0.261889,0.047392,0.464588,102.723,72.9882
14.3962,-0,0,-0,0.286197,-0.0107379,0,-0,0.224848,0.0458694,0.207,102.723,77.5666
14.4443,-0,0,-0,0.263336,-0.0107379,0,-0,0.184914,0.0450888,0.0442267,102.723,79.5761
14.4922,-0,0,-0,0.234108,-0.0107379,0,-0,0.180863,0.0457493,0.0412189,102.723,82.1451
14.5402,-0,0,-0,0.195042,-0.0107379,0,-0,0.170445,0.046669,0.0374833,102.723,85.579
14.5883,-0,0,-0,0.18202,-0.0107379,0,-0,0.170155,0.0408534,0.0346121,102.723,86.7236
14.6363,-0,0,-0,0.173628,-0.0107379,0,-0,0.169866,0.0430813,0.0279106,102.723,87.4613
14.6842,-0,0,-0,0.170445,-0.0107379,0,-0,0.169866,0.0413038,0.0310644,102.723,87.741
14.7322,-0,0,-0,0.169577,-0.0107379,0,-0,0.162053,0.0409145,0.032311,102.723,87.8174
14.7803,-0,0,-0,0.169577,-0.0107379,0,-0,0.160027,0.0398246,0.0272397,102.723,87.8174
14.8282,-0,0,-0,0.164947,-0.0107379,0,-0,0.151925,0.0408656,0.0252587,102.723,88.2243
14.8762,-0,0,-0,0.161474,-0.0107379,0,-0,0.140349,0.0385357,0.0283019,102.723,88.5296
14.9242,-0,0,-0,0.154818,-0.0107379,0,-0,0.155976,0.0366742,0.0304302,102.723,89.1146
14.9722,-0,0,-0,0.144111,-0.0107379,0,-0,0.167262,0.0426497,0.0222935,102.723,90.0557
15.0203,-0,0,-0,0.152503,-0.0107379,0,-0,0.185782,0.0395727,0.0245153,102.723,89.3181
15.0683,-0,0,-0,0.164368,-0.0107379,0,-0,0.232951,0.0387943,0.0287228,102.723,88.2752
15.1163,-0,0,-0,0.181441,-0.0107379,0,-0,0.326131,0.0369324,0.0295466,102.723,86.7745
15.1643,-0,0,-0,0.221086,-0.0107379,0,-0,0.401949,0.0353695,0.0314643,102.723,83.2897
15.2122,-0,0,-0,0.293431,-0.0107379,0,-0,0.473715,0.0403361,0.0227156,102.723,76.9307
15.2602,-0,0,-0,0.374168,-0.0107379,0,-0.0076699,0.532459,0.0371618,0.381687,102.723,69.8341
15.3082,-0,0,-0,0.411498,-0.0107379,0,-0,0.565449,0.0371753,2.27482,102.723,66.5529
15.3562,-0,0,-0,0.41555,-0.0107379,0,-0,0.595544,0.0342491,3.10715,102.723,66.1968
15.4042,-0,0,-0,0.41555,-0.0107379,0,-0,0.627086,0.0326343,3.09134,102.723,66.1968
15.4522,-0,0,-0,0.41555,-0.0107379,0,-0,0.637504,0.0342637,3.064,102.723,66.1968
15.5002,-0,0,-0,0.41555,-0.0107379,0,-0,0.638372,0.0328938,3.04347,102.723,66.1968
15.5482,-0,0,-0,0.41555,-0.0107379,0,-0,0.639819,0.0328938,3.02661,102.723,66.1968
15.5962,-0,0,-0,0.41555,-0.0107379,0,-0,0.640109,0.0323419,3.01086,102.723,66.1968
15.6442,-0,0,-0,0.41555,-0.0107379,0,-0,0.647922,0.0304302,2.99709,102.723,66.1968
15.6922,-0,0,-0,0.41555,-0.0107379,0,-0,0.649658,0.0334215,2.98735,102.723,66.1968
15.7402,-0,0,-0,0.41555,-0.0107379,0,-0,0.649947,0.0305614,2.9814,102.723,66.1968
15.7882,-0,0,-0,0.41555,-0.0107379,0,-0,0.649947,0.0335112,2.96723,102.723,66.1968
15.8362,-0,0,-0,0.41555,-0.0107379,0,-0,0.649947,0.0329393,2.95937,102.723,66.1968
15.8842,-0,0,-0,0.41555,-0.0107379,0,-0,0.649947,0.0326343,2.95377,102.723,66.1968
15.9322,-0,0,-0,0.41555,-0.0107379,0,-0,0.649947,0.0308707,2.94819,102.723,66.1968
15.9802,-0,0,-0,0.41555,-0.0107379,0,-0,0.649947,0.0321714,2.9428,102.723,66.1968
16.0282,-0,0,-0,0.41555,-0.0107379,0,-0,0.649947,0.030348,2.93667,102.723,66.1968
16.0762,-0,0,-0,0.41555,-0.0107379,0,-0,0.649947,0.0294109,2.93553,102.723,66.1968
16.1242,-0,0,-0,0.41555,-0.0107379,0,-0,0.642134,0.0306431,2.93412,102.723,66.1968
16.1722,-0,0,-0,0.41555,-0.0107379,0,-0,0.614354,0.030692,2.9281,102.723,66.1968
16.2202,-0,0,-0,0.41555,-0.0107379,0,-0,0.610881,0.030348,2.92209,102.723,66.1968
16.2682,-0,0,-0,0.41555,-0.0107379,0,-0,0.582811,0.0291548,2.92214,102.723,66.1968
16.3162,-0,0,-0,0.41555,-0.0107379,0,-0,0.572104,0.0267208,2.91964,102.723,66.1968
16.3642,-0,0,-0,0.41555,-0.0107379,0,-0,0.525225,0.0270924,2.91914,102.723,66.1968
16.4121,-0,0,-0,0.41555,-0.0107379,0,-0,0.513071,0.0281069,2.91395,102.723,66.1968
16.4602,-0,0,-0,0.41555,-0.0107379,0,-0,0.492525,0.0265518,2.91207,102.723,66.1968
16.5081,-0,0,-0,0.41555,-0.0107379,0,-0,0.472558,0.0261534,2.9115,102.723,66.1968
