t,paa0,pfe0,paa1,pfe1,daa0,dfe0,daa1,dfe1,cft0,cft1,pee0,pee1
10.7587,0.0951068,0.0445645,-0,0.0937591,0.167204,0.0124433,-0,0.0899972,0.0167631,0.0181384,98.8057,94.4816
10.8068,0.116583,0.0344362,-0,0.0905759,0.177942,0.00260442,-0,0.0899972,0.0160935,0.0187617,99.696,94.7614
10.8546,0.148796,0.0170734,-0,0.0897078,0.19635,0.00810264,-0,0.0899972,0.0164317,0.018412,101.222,94.8377
10.9027,0.16567,0.00491946,-0,0.0897078,0.227029,0.00028938,-0,0.0899972,0.0157797,0.0171172,102.29,94.8377
10.9506,0.182544,0.0057876,-0,0.0897078,0.271515,0,-0,0.0899972,0.0166433,0.0169115,102.214,94.8377
10.9986,0.210155,0.00202566,-0,0.0897078,0.289922,0,-0,0.0899972,0.0164012,0.018412,102.545,94.8377
11.0467,0.251573,0,-0,0.0897078,0.316,0,-0,0.0899972,0.0157797,0.0181384,102.723,94.8377
11.0947,0.277651,0,-0,0.0897078,0.337476,0,-0,0.0899972,0.0159374,0.0191311,102.723,94.8377
11.1426,0.30066,0,-0,0.0897078,0.349748,0,-0,0.0899972,0.0156844,0.0169115,102.723,94.8377
11.1907,0.322136,0,-0,0.0897078,0.357418,0,-0,0.0899972,0.0148997,0.0154272,102.723,94.8377
11.2386,0.335942,0,-0,0.0897078,0.377359,0,-0,0.0899972,0.0169115,0.018412,102.723,94.8377
11.2867,0.343612,0,-0,0.0897078,0.381961,0,-0,0.0899972,0.0155242,0.0178326,102.723,94.8377
11.3347,0.362019,0,-0,0.0897078,0.388097,0,-0,0.0899972,0.0153948,0.0167332,102.723,94.8377
11.3826,0.371223,0,-0,0.0897078,0.397301,0,-0,0.0980998,0.0162481,0.0164012,102.723,94.8377
11.4306,0.375825,0,-0,0.0897078,0.415709,0,-0,0.0902866,0.0144568,0.0161555,102.723,94.8377
11.4786,0.383495,0,-0,0.0957848,0.429515,0,-0,0.0899972,0.0155242,0.0180555,102.723,94.3035
11.5266,0.398835,0,-0,0.0920228,0.447922,0,-0,0.0899972,0.0157797,0.0167332,102.723,94.6342
11.5746,0.415709,0,-0,0.0894184,0.467864,0,-0,0.0899972,0.0147986,0.0167332,102.723,94.8631
11.6226,0.431049,0,-0,0.0897078,0.515418,0,-0,0.0818945,0.0153948,0.0161555,102.723,94.8377
11.6706,0.45099,0,-0,0.0897078,0.527689,0.0112858,-0,0.0801583,0.0156844,0.0171464,102.723,94.8377
11.7186,0.490874,0,-0,0.0842096,0.529223,0.0101283,-0,0.0798689,0.0167631,0.0169115,102.723,95.321
11.7666,0.513884,0.0072345,-0,0.080737,0.539961,0.0324106,-0,0.0798689,0.0157797,0.0164012,102.087,95.6262
11.8147,0.520019,0.00839202,-0,0.0795795,0.547631,0.0572972,-0,0.0798689,0.0157797,0.0170294,101.985,95.7279
11.8626,0.527689,0.0248867,-0,0.0795795,0.549165,0.0680043,-0,0.0798689,0.0150665,0.0183848,100.535,95.7279
11.9106,0.535359,0.0491946,-0,0.0795795,0.550699,0.0460114,-0,0.0798689,0.0159374,0.0167332,98.3987,95.7279
11.9586,0.538427,0.0636636,-0,0.0795795,0.550699,0.0659786,-0,0.0798689,0.0159374,0.0152643,97.1269,95.7279
12.0066,0.541495,0.0509309,-0,0.0795795,0.550699,0.0772645,-0,0.0798689,0.0161555,0.0180555,98.2461,95.7279
